La Fitnesse,-9654606755,3.9,430,"Third  Floor , Dharampalace, Noida Sector 18, Noida - 201301, Above Icici Bank"
,,,,
Indian Aquatic Academy,-9250916464,3.7,418,"A 7, Kendriya Vidyalaya, Noida Sector 24, Noida - 201301, Near NTPC & HCL Building"
,,,,
Golds Gym,-9599001663,4.4,304,"2nd FLoor, The Starling,  Plot No 1, Noida Sector 104, Noida - 201304, Opposite Lotus Boulevard,Hazipur"
,,,,
Getfit Fit Forever,-4216806,4.4,287,"Building Number A72,Raghuviri Medicos Basement, Noida Sector 50, Noida - 201307, Near Sector 51"
,,,,
Anytime Fitness,-8750444020,3.6,278,"Add : A 182/2, Tulip Mall, Noida Sector 48, Noida - 201303, Opposite Sri Sri Ravishankar Vidya Mandir"
,,,,
Fitnofit Gym,-9911710014,4.9,245,"Building Num K-9, Main Road, Noida Sector 49, Noida - 201303, Near Hanuman Ji Murti"
,,,,
Black Vigor Gym,-7154254,4.6,221,"Lower Basement 2, Galaxy Plaza, Noida Extension, Noida - 201305, Near Gaur Chowk,Gaur City-1"
,,,,
Chaze Fitness Gym,-9810837337,4.9,219,"KM 02,03, Noida Sector 104, Noida - 201304, Opposite Pathway School"
,,,,
Benefit Express Gym,-4359415,3.9,202,"Plot Number 34 and 35, Noida Sector 51, Noida - 201307, Behind HP Petrol Pump, Block Number B 1 A, Metro Market"
,,,,
Golds Gym,-4557380,4,186,"Ihdp Business Park, Plot-7, Noida Sector 127, Noida - 201303"
,,,,
THE GYM Health Planet,-4389500,4.5,180,"E-16/B-2, Basement, Kirtiman Plaza, Noida Sector 30, Noida - 201301, Near NMC Hospital"
,,,,
Blue Gym,-4324519,4.6,154,"2nd Floor, , Wave Silver Tower, 604, D Block, Pocket D, Sector 18, Captain Vijyant Thapar Marg, Noida Sector 18, Noida - 201301"
,,,,
The Top Gym,-9971412406,4,149,"3nd Floor,Basoiya Complex, Main Road, Noida Sector 15, Noida - 201301, Above Syndicate Bank"
,,,,
Second Home,-2482453,4.4,145,"C-3, Noida - 201301, Near SRS"
,,,,
Supernatural Crossfitness,-8448827875,4.7,137,"B-47 Basement, Supernatural Crossfitness, Block B, Sector 52, Noida - 201301"
,,,,
